https://code4fukui.github.io/rdf/#name_of_PoliticalParty,https://code4fukui.github.io/rdf/#number_of_votes
社会民主党,846.308
国民怒りの声,341.456
おおさか維新の会,3596.114
公明党,3840.055
日本共産党,2256.516
幸福実現党,402
自由民主党,15896.54
新党改革,325.347
日本のこころを大切にする党,331
生活の党と山本太郎となかまたち,490
民進党,8071.652
支持政党なし,381
合計,36777.99
