https://schema.org/name,https://schema.org/address,https://code4fukui.github.io/rdf/#echizen_city_origin,https://code4fukui.github.io/rdf/#category1,https://code4fukui.github.io/rdf/#category2,https://code4fukui.github.io/rdf/#category3,https://schema.org/name,https://schema.org/url,https://code4fukui.github.io/rdf/#echizen_city_area,https://code4fukui.github.io/rdf/#counts,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long
神山児童館,広瀬町102-41,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,神山地区,1,35.885736,136.136642
コミュニティセンター柳荘,家久町105-10-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野地区,1,35.919577,136.171654
吉野小学校,本保町17-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野地区,1,35.926104,136.157239
家久スポーツ公園温水プール,家久町105-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野地区,1,35.924588,136.173685
吉野児童館,本保町19-9-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野地区,1,35.925584,136.158572
家久保育園,家久町94-2-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野地区,1,35.922552,136.166921
吉野公民館,本保町19-6,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野地区,1,35.926437,136.1583
武生第三中学校,村国二丁目3-56,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,国高地区,1,35.905707,136.175877
国高公民館,国高二丁目324-13,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,国高地区,1,35.911362,136.189747
国高小学校,国高一丁目15-5,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,国高地区,1,35.912315,136.185975
越前市サッカー場,瓜生町6-16-2,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/031/aedzidoutaigaisikizyozaidouki.html,国高地区,1,35.929915,136.183706
瓜生水と緑公園体育館,瓜生町19-7-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,国高地区,1,35.926542,136.183452
式部ふれあい館,国高一丁目13-11,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,国高地区,1,35.912465,136.184953
国高児童センター,国高二丁目325-3,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,国高地区,1,35.910868,136.189375
大虫体育館,丹生郷町13-20-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,大虫地区,1,35.907675,136.141474
大虫小学校,高森町14-15,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,大虫地区,1,35.906208,136.141866
大虫児童館,丹生郷町13-20-4,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,大虫地区,1,35.908122,136.141508
上太田保育園,上太田町11-2,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,大虫地区,1,35.900546,136.151307
大虫公民館,丹生郷町13-20-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,大虫地区,1,35.907675,136.141474
坂口小学校,湯谷町24-25,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,坂口地区,1,35.858977,136.087001
坂口公民館,湯谷町24-18-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,坂口地区,1,35.859896,136.087093
武生第六中学校,四郎丸町16-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,王子保地区,1,35.8657,136.159054
王子保公民館,四郎丸町65-2-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,王子保地区,1,35.867478,136.168845
王子保小学校,今宿町5-14,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,王子保地区,1,35.866111,136.167481
越前市さんハウスたけふ,白崎町35-8-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,王子保地区,1,35.865086,136.142317
王子保児童センター,四郎丸町55-4-4,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,王子保地区,1,35.866817,136.166081
しきぶ温泉湯楽里,白崎町68-8,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,王子保地区,2,35.8634057,136.1445698
斎場,春日野町105-11,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,王子保地区,1,35.860206,136.140723
白崎公園屋内ゲートボール場,白崎町35-23-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,王子保地区,1,35.86426,136.141375
北新庄体育館,北町54-25,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北新庄地区,1,35.912657,136.211089
北新庄小学校,北町47-6,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北新庄地区,1,35.914005,136.209975
認定こども園北新庄,北町38-6,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北新庄地区,1,35.913954,136.209083
北新庄児童館,北町54-25,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北新庄地区,1,35.912657,136.211089
万葉中学校,西尾町48-18,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北日野地区,1,35.892274,136.213503
北日野小学校,小野谷町2-2,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北日野地区,1,35.889451,136.190595
北日野体育館,矢放町21-11,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北日野地区,1,35.889676,136.188634
北日野児童センター,小野谷町1-13,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北日野地区,1,35.890106,136.190612
認定こども園北日野,矢放町16-4,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北日野地区,1,35.888856,136.187746
北日野公民館,矢放町21-11,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,北日野地区,1,35.889676,136.188634
味真野公民館,味真野町7-2-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,味真野地区,1,35.887586,136.226404
東運動公園事務所,宮谷町35-10,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,味真野地区,1,35.893279,136.221301
味真野小学校,池泉町9-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,味真野地区,1,35.890557,136.23317
味真野児童センター,池泉町14-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,味真野地区,1,35.890602,136.234228
万葉菊花園,余川町22-96-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,味真野地区,1,35.886836,136.237653
武生第五中学校,都辺町36-73,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,白山地区,1,35.888514,136.056731
白山公民館,都辺町36-84,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,白山地区,1,35.887814,136.056073
白山小学校,都辺町24-2,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,白山地区,1,35.888058,136.052885
越前市みどりと自然の村,安養寺町5-3,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,白山地区,1,35.920958,136.080763
金華山グリーンランド,米口町58-25,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,白山地区,1,35.866217,136.057499
越前市今立総合支所（あいぱーく今立）,粟田部町9-1-9,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,粟田部地区,1,35.919288,136.246507
花筺公民館,粟田部町17-10,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,粟田部地区,1,35.919043,136.239394
花筺小学校,粟田部町41-12,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,粟田部地区,1,35.914121,136.240394
いまだて芸術館,粟田部町11-1-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,粟田部地区,1,35.918724,136.247273
花筐児童館,粟田部町17-17,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,粟田部地区,1,35.919143,136.238813
越前市社会福祉センター,杉尾町1-27-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本地区,2,35.920093,136.252817
越前市老人福祉センター今寿苑,杉尾町1-24-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本地区,1,35.92051,136.251854
越前市今立図書館,定友町21-3-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本地区,1,35.91921,136.247196
岡本公民館,定友町10-2-2,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本地区,1,35.913871,136.24484
今立体育センター,岩本町1-9,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本地区,1,35.692815,139.777866
岡本小学校,定友町10-15,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本地区,1,35.914935,136.245185
パピルス館,新在家町8-44,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本地区,1,35.911386,136.243332
社会福祉センター(夢広場）,杉尾町1-27-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本地区,1,35.920093,136.252817
八ツ杉森林学習センター,別印町19-1-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本地区,1,35.888211,136.308313
岡本児童館,定友町10-15,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本地区,1,35.914935,136.245185
認定こども園岡本,岩本町5-26,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,岡本地区,1,35.908411,136.245035
南越中学校,野岡町28-4,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南中山地区,1,35.926126,136.249742
南中山小学校,中津山町38-13-2,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南中山地区,1,35.929614,136.246809
南中山公民館,西庄境町21-7-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南中山地区,1,35.92922,136.248162
南中山児童館,西庄境町21-7-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南中山地区,1,35.92922,136.248162
認定こども園南中山,南中山41-13-2,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/031/aedzidoutaigaisikizyozaidouki.html,南中山地区,1,35.929369,136.245963
服間小学校,藤木町12-11,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/032/aedzidoutaigaisikizyozaidouki.html,服間地区,1,35.935436,136.265071
服間公民館,藤木町12-39-1,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/033/aedzidoutaigaisikizyozaidouki.html,服間地区,1,35.934739,136.26383
服間児童館,藤木町12-43,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/034/aedzidoutaigaisikizyozaidouki.html,服間地区,1,35.934905,136.263674
認定こども園服間,藤木町12-34,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/035/aedzidoutaigaisikizyozaidouki.html,服間地区,1,35.935581,136.264046
健康増進課,府中一丁目11-2,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,一般貸出用,1,35.904543,136.17041
