https://schema.org/category,https://code4fukui.github.io/rdf/#number_of_voters,https://code4fukui.github.io/rdf/#number_of_turnout
選挙当日有権者 18歳,890,
選挙当日有権者 19歳,861,
投票所における投票者 18歳,361,
投票所における投票者 19歳,237,
期日前投票者 18歳,81,
期日前投票者 19歳,97,
不在者投票者 18歳,6,
不在者投票者 19歳,12,
投票者 計 18歳,448,50.34
投票者 計 19歳,346,40.19
投票者 計,794,45.35
