https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#areasquare_m2
平成24年度,土地　行政財産,1817071
平成24年度,土地　普通財産,504059
平成24年度,土地　山林,733049
平成24年度,土地　土地計,3054179
平成24年度,建物　木造　行政財産,15834
平成24年度,建物　木造　普通財産,1462
平成24年度,建物　木造　木造計,17296
平成24年度,建物　非木造　行政財産,354078
平成24年度,建物　非木造　普通財産,9457
平成24年度,建物　非木造　非木造計,363535
平成24年度,建物　建物計,380831
平成25年度,土地　行政財産,1819166
平成25年度,土地　普通財産,574965
平成25年度,土地　山林,733049
平成25年度,土地　土地計,3127180
平成25年度,建物　木造　行政財産,15764
平成25年度,建物　木造　普通財産,1399
平成25年度,建物　木造　木造計,17163
平成25年度,建物　非木造　行政財産,354408
平成25年度,建物　非木造　普通財産,8067
平成25年度,建物　非木造　非木造計,362475
平成25年度,建物　建物計,379638
平成26年度,土地　行政財産,1829636
平成26年度,土地　普通財産,551887
平成26年度,土地　山林,733049
平成26年度,土地　土地計,3114572
平成26年度,建物　木造　行政財産,15858
平成26年度,建物　木造　普通財産,1263
平成26年度,建物　木造　木造計,17121
平成26年度,建物　非木造　行政財産,353510
平成26年度,建物　非木造　普通財産,8067
平成26年度,建物　非木造　非木造計,361577
平成26年度,建物　建物計,378698
平成27年度,土地　行政財産,1904390
平成27年度,土地　普通財産,545006
平成27年度,土地　山林,726223
平成27年度,土地　土地計,3175619
平成27年度,建物　木造　行政財産,16210
平成27年度,建物　木造　普通財産,1867
平成27年度,建物　木造　木造計,18077
平成27年度,建物　非木造　行政財産,348974
平成27年度,建物　非木造　普通財産,9336
平成27年度,建物　非木造　非木造計,358310
平成27年度,建物　建物計,376387
平成28年度,土地　行政財産,1904563
平成28年度,土地　普通財産,541560
平成28年度,土地　山林,726223
平成28年度,土地　土地計,3172346
平成28年度,建物　木造　行政財産,16239
平成28年度,建物　木造　普通財産,1867
平成28年度,建物　木造　木造計,18106
平成28年度,建物　非木造　行政財産,341278
平成28年度,建物　非木造　普通財産,8764
平成28年度,建物　非木造　非木造計,350042
平成28年度,建物　建物計,368148
平成29年度,土地　行政財産,1931380
平成29年度,土地　普通財産,469663
平成29年度,土地　山林,744965
平成29年度,土地　土地計,3146008
平成29年度,建物　木造　行政財産,15783
平成29年度,建物　木造　普通財産,2011
平成29年度,建物　木造　木造計,17794
平成29年度,建物　非木造　行政財産,341748
平成29年度,建物　非木造　普通財産,8483
平成29年度,建物　非木造　非木造計,350231
平成29年度,建物　建物計,368025
平成30年,土地　行政財産,1927289
平成30年,土地　普通財産,467432
平成30年,土地　山林,744965
平成30年,土地　土地計,3139686
平成30年,建物　木造　行政財産,15131
平成30年,建物　木造　普通財産,2011
平成30年,建物　木造　木造計,17142
平成30年,建物　非木造　行政財産,341893
平成30年,建物　非木造　普通財産,5260
平成30年,建物　非木造　非木造計,347153
平成30年,建物　建物計,364295
令和元年,土地　行政財産,1920585
令和元年,土地　普通財産,468038
令和元年,土地　山林,744965
令和元年,土地　土地計,3133588
令和元年,建物　木造　行政財産,14997
令和元年,建物　木造　普通財産,2016
令和元年,建物　木造　木造計,17013
令和元年,建物　非木造　行政財産,345503
令和元年,建物　非木造　普通財産,11592
令和元年,建物　非木造　非木造計,357095
令和元年,建物　建物計,374108
令和2年,土地　行政財産,1849692
令和2年,土地　普通財産,467573
令和2年,土地　山林,744965
令和2年,土地　土地計,3062230
令和2年,建物　木造　行政財産,14840
令和2年,建物　木造　普通財産,1658
令和2年,建物　木造　木造計,16498
令和2年,建物　非木造　行政財産,318743
令和2年,建物　非木造　普通財産,2049
令和2年,建物　非木造　非木造計,320792
令和2年,建物　建物計,337290
