https://schema.org/category,https://code4fukui.github.io/rdf/#population,https://code4fukui.github.io/rdf/#population_U15,https://code4fukui.github.io/rdf/#population_O65,https://schema.org/Male,https://schema.org/Female,https://code4fukui.github.io/rdf/#total_households,https://code4fukui.github.io/rdf/#number_of_GeneralHouseholds,https://code4fukui.github.io/rdf/#number_of_FacilityHouseholds,https://code4fukui.github.io/rdf/#general_household_personnel,https://code4fukui.github.io/rdf/#facility_household_personnel
総数,81524,10928,22484,39859,41665,27889,27843,46,80152,1372
都市計画区域,77588,10543,21009,37974,39614,26672,26628,44,76216,1349
