https://schema.org/Place,https://code4fukui.github.io/rdf/#number_of_households,https://schema.org/gender,https://code4fukui.github.io/rdf/#population
高森町,196,男,256 
高森町,196,女,274 
丹生郷町,187,男,277 
丹生郷町,187,女,290 
三ツ俣町,34,男,55 
三ツ俣町,34,女,55 
横根町,64,男,68 
横根町,64,女,83 
北山町,179,男,261 
北山町,179,女,247 
上太田町,494,男,523 
上太田町,494,女,536 
下太田町,258,男,282 
下太田町,258,女,290 
新保町,153,男,188 
新保町,153,女,172 
新保一丁目,55,男,45 
新保一丁目,55,女,49 
新保二丁目,17,男,19 
新保二丁目,17,女,11 
大虫本町勝蓮花,10,男,15 
大虫本町勝蓮花,10,女,15 
湯谷町,22,男,26 
湯谷町,22,女,23 
中山町,16,男,20 
中山町,16,女,24 
下別所町,3,男,6 
下別所町,3,女,3 
勾当原町,30,男,47 
勾当原町,30,女,51 
中津原町,33,男,46 
中津原町,33,女,53 
下中津原町,25,男,32 
下中津原町,25,女,33 
四郎丸町,712,男,933 
四郎丸町,712,女,972 
塚原町,134,男,202 
塚原町,134,女,170 
白崎町,201,男,204 
白崎町,201,女,230 
春日野町,52,男,65 
春日野町,52,女,73 
今宿町,142,男,176 
今宿町,142,女,168 
国兼町,82,男,128 
国兼町,82,女,130 
大塩町,146,男,190 
大塩町,146,女,171 
上小松町,15,男,16 
上小松町,15,女,19 
森久町,16,男,25 
森久町,16,女,23 
瓜生野町,3,男,1 
瓜生野町,3,女,2 
中平吹町,171,男,228 
中平吹町,171,女,241 
下平吹町,79,男,106 
下平吹町,79,女,104 
富士見が丘一,202,男,201 
富士見が丘一,202,女,192 
富士見が丘二,82,男,106 
富士見が丘二,82,女,117 
向陽町,148,男,188 
向陽町,148,女,183 
北町,387,男,587 
北町,387,女,539 
杉崎町,51,男,74 
杉崎町,51,女,91 
真柄町,52,男,80 
真柄町,52,女,90 
戸谷町,119,男,162 
戸谷町,119,女,180 
長尾町,57,男,76 
長尾町,57,女,79 
中新庄町,129,男,201 
中新庄町,129,女,207 
三ツ屋町,82,男,127 
三ツ屋町,82,女,125 
矢放町,243,男,316 
矢放町,243,女,331 
帆山町,219,男,268 
帆山町,219,女,313 
矢船町,159,男,169 
矢船町,159,女,199 
向新保町,84,男,126 
向新保町,84,女,130 
畑町,22,男,37 
畑町,22,女,39 
小野谷町,134,男,167 
小野谷町,134,女,180 
西谷町,52,男,44 
西谷町,52,女,56 
荒谷町,12,男,16 
荒谷町,12,女,19 
平林町,64,男,99 
平林町,64,女,116 
庄田町,108,男,138 
庄田町,108,女,132 
大手町,24,男,34 
大手町,24,女,30 
西尾町,183,男,261 
西尾町,183,女,242 
岩内町,68,男,101 
岩内町,68,女,87 
大屋町,71,男,97 
大屋町,71,女,110 
葛岡町,52,男,65 
葛岡町,52,女,42 
問屋町,0,男,0 
問屋町,0,女,0 
北日野団地,100,男,91 
北日野団地,100,女,138 
入谷町,31,男,39 
入谷町,31,女,50 
中居町,45,男,56 
中居町,45,女,66 
蓑脇町,39,男,44 
蓑脇町,39,女,54 
桧尾谷町,24,男,39 
桧尾谷町,24,女,48 
余川町,98,男,124 
余川町,98,女,152 
池泉町,207,男,316 
池泉町,207,女,328 
文室町,76,男,98 
文室町,76,女,98 
萱谷町,99,男,86 
萱谷町,99,女,81 
上大坪町,141,男,210 
上大坪町,141,女,210 
味真野町,128,男,172 
味真野町,128,女,179 
南小山町,21,男,24 
南小山町,21,女,30 
北小山町,25,男,37 
北小山町,25,女,36 
吉村町,29,男,32 
吉村町,29,女,37 
若宮町,18,男,26 
若宮町,18,女,27 
五分市町,244,男,336 
五分市町,244,女,367 
清水頭町,38,男,52 
清水頭町,38,女,48 
上真柄町,26,男,34 
上真柄町,26,女,37 
徳間町,30,男,44 
徳間町,30,女,46 
金屋町,0,男,0 
金屋町,0,女,0 
宮谷町,117,男,164 
宮谷町,117,女,177 
奥宮谷町,94,男,144 
奥宮谷町,94,女,137 
上真柄宮谷入会,14,男,18 
上真柄宮谷入会,14,女,25 
味真野団地,47,男,60 
味真野団地,47,女,60 
都辺町,16,男,19 
都辺町,16,女,26 
上杉本町,3,男,1 
上杉本町,3,女,2 
二階堂町,11,男,18 
二階堂町,11,女,14 
千合谷町,20,男,26 
千合谷町,20,女,30 
菖蒲谷町,23,男,32 
菖蒲谷町,23,女,33 
堀町,30,男,41 
堀町,30,女,41 
土山町,7,男,7 
土山町,7,女,9 
小谷町,6,男,13 
小谷町,6,女,11 
安戸町,4,男,4 
安戸町,4,女,6 
菅町,0,男,0 
菅町,0,女,0 
米口町,20,男,28 
米口町,20,女,34 
仏谷町,2,男,2 
仏谷町,2,女,3 
丸岡町,42,男,56 
丸岡町,42,女,51 
沓掛町,17,男,22 
沓掛町,17,女,22 
勝蓮花町,0,男,0 
勝蓮花町,0,女,0 
小野町,2,男,2 
小野町,2,女,4 
上黒川町,31,男,40 
上黒川町,31,女,47 
下黒川町,43,男,36 
下黒川町,43,女,58 
安養寺町,152,男,199 
安養寺町,152,女,207 
曽原町,17,男,26 
曽原町,17,女,29 
粟野町,3,男,4 
粟野町,3,女,6 
小杉町,18,男,24 
小杉町,18,女,22 
牧町,11,男,10 
牧町,11,女,12 
若須町,7,男,9 
若須町,7,女,9 
中野町,21,男,29 
中野町,21,女,36 
萩原町,3,男,4 
萩原町,3,女,4 
鴉ヶ平町,11,男,17 
鴉ヶ平町,11,女,16 
西樫尾町,112,男,158 
西樫尾町,112,女,144 
粟田部町西山,210,男,248 
粟田部町西山,210,女,296 
粟田部町栄,221,男,253 
粟田部町栄,221,女,246 
粟田部町宝栄,109,男,154 
粟田部町宝栄,109,女,160 
粟田部町蓬莱,106,男,130 
粟田部町蓬莱,106,女,152 
粟田部町富永,156,男,207 
粟田部町富永,156,女,207 
粟田部町鞍谷,274,男,361 
粟田部町鞍谷,274,女,377 
粟田部町旭,110,男,142 
粟田部町旭,110,女,150 
今立西部工業団地,0,男,0 
今立西部工業団地,0,女,0 
不老町,148,男,244 
不老町,148,女,233 
大滝町,136,男,164 
大滝町,136,女,188 
岩本町,236,男,361 
岩本町,236,女,337 
新在家町,103,男,142 
新在家町,103,女,162 
定友町,156,男,191 
定友町,156,女,235 
杉尾町,54,男,66 
杉尾町,54,女,85 
轟井町,42,男,61 
轟井町,42,女,61 
島町,17,男,24 
島町,17,女,28 
長五町,12,男,17 
長五町,12,女,19 
大平町,9,男,11 
大平町,9,女,13 
八石町,10,男,12 
八石町,10,女,14 
中印町,14,男,16 
中印町,14,女,17 
別印町,23,男,25 
別印町,23,女,35 
南坂下町,17,男,23 
南坂下町,17,女,22 
野岡町,218,男,303 
野岡町,218,女,319 
マインドタウン,39,男,58 
マインドタウン,39,女,57 
山室町,94,男,143 
山室町,94,女,147 
富士見台,0,男,0 
富士見台,0,女,0 
下戸板,5,男,4 
下戸板,5,女,7 
東庄境町,116,男,183 
東庄境町,116,女,187 
西庄境町,95,男,143 
西庄境町,95,女,135 
赤坂町,103,男,142 
赤坂町,103,女,148 
新堂町,64,男,109 
新堂町,64,女,112 
国中町,66,男,110 
国中町,66,女,123 
中津山町,141,男,216 
中津山町,141,女,191 
仲山,45,男,70 
仲山,45,女,76 
朽飯町,99,男,151 
朽飯町,99,女,146 
高岡町,25,男,44 
高岡町,25,女,39 
藤木町,30,男,49 
藤木町,30,女,38 
領家町,30,男,34 
領家町,30,女,40 
春山町,27,男,42 
春山町,27,女,39 
東樫尾町,35,男,31 
東樫尾町,35,女,44 
波垣町,19,男,28 
波垣町,19,女,33 
寺地町,27,男,32 
寺地町,27,女,37 
横住町,67,男,87 
横住町,67,女,97 
清根町,6,男,7 
清根町,6,女,10 
相木町,16,男,24 
相木町,16,女,28 
西河内町,10,男,9 
西河内町,10,女,15 
室谷町,25,男,36 
室谷町,25,女,39 
長谷町,24,男,34 
長谷町,24,女,27 
北坂下町,19,男,33 
北坂下町,19,女,30 
殿町,5,男,5 
殿町,5,女,7 
大谷町,8,男,11 
大谷町,8,女,15 
南中町,12,男,18 
南中町,12,女,22 
赤谷町,24,男,30 
赤谷町,24,女,34 
水間町,13,男,20 
水間町,13,女,18 
柳元町,23,男,29 
柳元町,23,女,27 
市野々町,25,男,22 
市野々町,25,女,25 
,,,
,,,
