施設名称,緯度,経度
家久スポーツ公園温水プール,35.91941673,136.1720182
家久スポーツ公園ソフトボール場,35.91867819,136.1732842
今立南部公園庭球場,35.91169591,136.2514809
白崎公園屋内ゲートボール場,35.86474839,136.1416447
武生体育センター,35.87535099,136.1679585
みどりと自然の村サン・スポーツランド,35.92114043,136.0813209
北新庄体育館,35.91375463,136.2149036
北日野体育館,35.91285683,136.2112821
大虫体育館,35.88983118,136.1889721
弓道場,35.8867428,136.1615836
今立中央公園多目的広場,35.9276954,136.2508735
今立テニスコート,35.9276954,136.2508735
市民プラザたけふ,35.904543,136.17041
越前市社会福祉センター,35.920036,136.252797
コミュニティセンター柳荘,35.920499,136.171863
第１清掃センター,35.82307736,136.2043345
第２清掃センター,35.87195699,136.081821
越前打刃物振興施設,35.87576,136.1469
越前和紙の里美術館,35.91013,136.2461
