https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#number_of_cases
平成22年,条例案　市長提出,19
平成22年,条例案　議員提出,3
平成22年,議決案,15
平成22年,同意案,5
平成22年,認定案,15
平成22年,承認案,5
平成22年,諮問案,5
平成22年,推薦案,1
平成22年,意見書案,9
平成22年,請願,12
平成22年,決議案,0
平成22年,規則案,0
平成22年,その他,5
平成23年,予算案,32
平成23年,条例案　市長提出,19
平成23年,条例案　議員提出,1
平成23年,議決案,8
平成23年,同意案,5
平成23年,認定案,15
平成23年,承認案,4
平成23年,諮問案,3
平成23年,推薦案,1
平成23年,意見書案,5
平成23年,請願,7
平成23年,決議案,1
平成23年,規則案,0
平成23年,その他,4
平成24年,予算案,29
平成24年,条例案　市長提出,25
平成24年,条例案　議員提出,5
平成24年,議決案,19
平成24年,同意案,4
平成24年,認定案,9
平成24年,承認案,6
平成24年,諮問案,3
平成24年,推薦案,1
平成24年,意見書案,12
平成24年,請願,7
平成24年,決議案,1
平成24年,規則案,2
平成24年,その他,18
平成25年,予算案,28
平成25年,条例案　市長提出,23
平成25年,条例案　議員提出,2
平成25年,議決案,24
平成25年,同意案,10
平成25年,認定案,9
平成25年,承認案,5
平成25年,諮問案,0
平成25年,推薦案,0
平成25年,意見書案,5
平成25年,請願,9
平成25年,決議案,0
平成25年,規則案,0
平成25年,その他,5
平成26年,予算案,28
平成26年,条例案　市長提出,18
平成26年,条例案　議員提出,1
平成26年,議決案,20
平成26年,同意案,11
平成26年,認定案,8
平成26年,承認案,6
平成26年,諮問案,0
平成26年,推薦案,2
平成26年,意見書案,9
平成26年,請願,7
平成26年,決議案,0
平成26年,規則案,0
平成26年,その他,29
平成27年,予算案,27
平成27年,条例案　市長提出,24
平成27年,条例案　議員提出,1
平成27年,議決案,4
平成27年,同意案,5
平成27年,認定案,8
平成27年,承認案,5
平成27年,諮問案,0
平成27年,推薦案,0
平成27年,意見書案,10
平成27年,請願,8
平成27年,決議案,2
平成27年,規則案,1
平成27年,その他,16
平成28年,予算案,24
平成28年,条例案　市長提出,27
平成28年,条例案　議員提出,0
平成28年,議決案,3
平成28年,同意案,5
平成28年,認定案,8
平成28年,承認案,8
平成28年,諮問案,0
平成28年,推薦案,0
平成28年,意見書案,5
平成28年,請願,6
平成28年,決議案,1
平成28年,規則案,0
平成28年,その他,6
平成29年,予算案,23
平成29年,条例案　市長提出,16
平成29年,条例案　議員提出,1
平成29年,議決案,19
平成29年,同意案,25
平成29年,認定案,7
平成29年,承認案,8
平成29年,諮問案,0
平成29年,推薦案,0
平成29年,意見書案,3
平成29年,請願,6
平成29年,決議案,2
平成29年,規則案,0
平成29年,その他,18
平成30年,予算案,29
平成30年,条例案　市長提出,22
平成30年,条例案　議員提出,3
平成30年,議決案,9
平成30年,同意案,7
平成30年,認定案,7
平成30年,承認案,8
平成30年,諮問案,0
平成30年,推薦案,0
平成30年,意見書案,5
平成30年,請願,1
平成30年,決議案,0
平成30年,規則案,0
平成30年,その他,15
令和元年,予算案,26
令和元年,条例案　市長提出,27
令和元年,条例案　議員提出,1
令和元年,議決案,9
令和元年,同意案,5
令和元年,認定案,8
令和元年,承認案,7
令和元年,諮問案,0
令和元年,推薦案,0
令和元年,意見書案,5
令和元年,請願,8
令和元年,決議案,0
令和元年,規則案,0
令和元年,その他,9
令和2年,予算案,29
令和2年,条例案　市長提出,25
令和2年,条例案　議員提出,4
令和2年,議決案,13
令和2年,同意案,25
令和2年,認定案,8
令和2年,承認案,16
令和2年,諮問案,0
令和2年,推薦案,0
令和2年,意見書案,6
令和2年,請願,5
令和2年,決議案,0
令和2年,規則案,1
令和2年,その他,4
令和3年,予算案,27
令和3年,条例案　市長提出,15
令和3年,条例案　議員提出,3
令和3年,議決案,8
令和3年,同意案,9
令和3年,認定案,7
令和3年,承認案,5
令和3年,諮問案,0
令和3年,推薦案,0
令和3年,意見書案,3
令和3年,請願,2
令和3年,決議案,0
令和3年,規則案,2
令和3年,その他,9
