https://schema.org/name,https://code4fukui.github.io/rdf/#grade,https://code4fukui.github.io/rdf/#headcount
武生第一中学校,１年生,204
武生第一中学校,２年生,189
武生第一中学校,３年生,212
武生第二中学校,１年生,142
武生第二中学校,２年生,154
武生第二中学校,３年生,152
武生第二中学校・坂口分校,１年生,2
武生第二中学校・坂口分校,２年生,4
武生第二中学校・坂口分校,３年生,5
武生第三中学校,１年生,118
武生第三中学校,２年生,117
武生第三中学校,３年生,103
万葉中学校,１年生,110
万葉中学校,２年生,135
万葉中学校,３年生,126
武生第五中学校,１年生,11
武生第五中学校,２年生,9
武生第五中学校,３年生,18
武生第六中学校,１年生,63
武生第六中学校,２年生,61
武生第六中学校,３年生,57
