https://schema.org/name,https://schema.org/address,https://schema.org/telephone,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area
(有)あいぜん　　　　　　　　　　　　　　　　　,越前市広瀬町131-23,21-1782,35.88728,136.1433,白山
武生タクシー(株） 　,越前市府中１丁目12-29,22-0012,35.90364,136.1699,東
小松タクシー（有）,越前市小松１丁目4-7,22-0585,35.9038,136.1568,西
ヤマトタクシー（株）,越前市粟田部町35-4-12,42-0860,35.91765,136.2465,粟田部
介護タクシーもも,越前市西庄境町10-26-1,42-5666,35.93479,136.248,南中山
