https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#number_of_BusinessOffice,https://schema.org/numberOfEmployees,https://schema.org/category,https://code4fukui.github.io/rdf/#value_TenThousand
平成22年,354,14409,製造品出荷額等,42538881
平成22年,354,14409,粗付加価値額,17440355
平成22年,354,14409,有形固定資産投資額,9588407
平成23年,373,14310,製造品出荷額等,41471569
平成23年,373,14310,粗付加価値額,16679027
平成23年,373,14310,有形固定資産投資額,2108892
平成24年,335,13829,製造品出荷額等,47089459
平成24年,335,13829,粗付加価値額,17886125
平成24年,335,13829,有形固定資産投資額,2341252
平成25年,321,14211,製造品出荷額等,43013592
平成25年,321,14211,粗付加価値額,18748403
平成25年,321,14211,有形固定資産投資額,2214172
平成26年,315,14726,製造品出荷額等,47364061
平成26年,315,14726,粗付加価値額,18854701
平成26年,315,14726,有形固定資産投資額,2151648
