https://code4fukui.github.io/rdf/#imperial_era_name,https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#number_of_times
昭和,22,震度5弱,0
昭和,22,震度5強,0
昭和,22,震度6弱,0
昭和,22,震度6強,0
昭和,22,震度7,0
昭和,22,震度不明,0
昭和,23,震度1,89
昭和,23,震度2,38
昭和,23,震度3,7
昭和,23,震度4,0
昭和,23,震度5弱,0
昭和,23,震度5強,0
昭和,23,震度6弱,1
昭和,23,震度6強,0
昭和,23,震度7,0
昭和,23,震度不明,479
昭和,24,震度1,40
昭和,24,震度2,7
昭和,24,震度3,9
昭和,24,震度4,1
昭和,24,震度5弱,0
昭和,24,震度5強,0
昭和,24,震度6弱,0
昭和,24,震度6強,0
昭和,24,震度7,0
昭和,24,震度不明,0
昭和,25,震度1,24
昭和,25,震度2,5
昭和,25,震度3,4
昭和,25,震度4,0
昭和,25,震度5弱,0
昭和,25,震度5強,0
昭和,25,震度6弱,0
昭和,25,震度6強,0
昭和,25,震度7,0
昭和,25,震度不明,0
昭和,26,震度1,7
昭和,26,震度2,6
昭和,26,震度3,2
昭和,26,震度4,0
昭和,26,震度5弱,0
昭和,26,震度5強,0
昭和,26,震度6弱,0
昭和,26,震度6強,0
昭和,26,震度7,0
昭和,26,震度不明,0
昭和,27,震度1,22
昭和,27,震度2,12
昭和,27,震度3,5
昭和,27,震度4,2
昭和,27,震度5弱,0
昭和,27,震度5強,0
昭和,27,震度6弱,0
昭和,27,震度6強,0
昭和,27,震度7,0
昭和,27,震度不明,0
昭和,28,震度1,7
昭和,28,震度2,3
昭和,28,震度3,0
昭和,28,震度4,0
昭和,28,震度5弱,0
昭和,28,震度5強,0
昭和,28,震度6弱,0
昭和,28,震度6強,0
昭和,28,震度7,0
昭和,28,震度不明,0
昭和,29,震度1,11
昭和,29,震度2,5
昭和,29,震度3,4
昭和,29,震度4,0
昭和,29,震度5弱,0
昭和,29,震度5強,0
昭和,29,震度6弱,0
昭和,29,震度6強,0
昭和,29,震度7,0
昭和,29,震度不明,0
昭和,30,震度1,5
昭和,30,震度2,3
昭和,30,震度3,0
昭和,30,震度4,0
昭和,30,震度5弱,0
昭和,30,震度5強,0
昭和,30,震度6弱,0
昭和,30,震度6強,0
昭和,30,震度7,0
昭和,30,震度不明,0
昭和,31,震度1,4
昭和,31,震度2,1
昭和,31,震度3,1
昭和,31,震度4,0
昭和,31,震度5弱,0
昭和,31,震度5強,0
昭和,31,震度6弱,0
昭和,31,震度6強,0
昭和,31,震度7,0
昭和,31,震度不明,0
昭和,32,震度1,4
昭和,32,震度2,4
昭和,32,震度3,1
昭和,32,震度4,0
昭和,32,震度5弱,0
昭和,32,震度5強,0
昭和,32,震度6弱,0
昭和,32,震度6強,0
昭和,32,震度7,0
昭和,32,震度不明,0
昭和,33,震度1,0
昭和,33,震度2,2
昭和,33,震度3,1
昭和,33,震度4,0
昭和,33,震度5弱,0
昭和,33,震度5強,0
昭和,33,震度6弱,0
昭和,33,震度6強,0
昭和,33,震度7,0
昭和,33,震度不明,0
昭和,34,震度1,6
昭和,34,震度2,2
昭和,34,震度3,0
昭和,34,震度4,0
昭和,34,震度5弱,0
昭和,34,震度5強,0
昭和,34,震度6弱,0
昭和,34,震度6強,0
昭和,34,震度7,0
昭和,34,震度不明,0
昭和,35,震度1,5
昭和,35,震度2,4
昭和,35,震度3,1
昭和,35,震度4,0
昭和,35,震度5弱,0
昭和,35,震度5強,0
昭和,35,震度6弱,0
昭和,35,震度6強,0
昭和,35,震度7,0
昭和,35,震度不明,0
昭和,36,震度1,50
昭和,36,震度2,11
昭和,36,震度3,0
昭和,36,震度4,1
昭和,36,震度5弱,0
昭和,36,震度5強,0
昭和,36,震度6弱,0
昭和,36,震度6強,0
昭和,36,震度7,0
昭和,36,震度不明,0
昭和,37,震度1,8
昭和,37,震度2,7
昭和,37,震度3,2
昭和,37,震度4,0
昭和,37,震度5弱,0
昭和,37,震度5強,0
昭和,37,震度6弱,0
昭和,37,震度6強,0
昭和,37,震度7,0
昭和,37,震度不明,0
昭和,38,震度1,17
昭和,38,震度2,10
昭和,38,震度3,3
昭和,38,震度4,1
昭和,38,震度5弱,1
昭和,38,震度5強,0
昭和,38,震度6弱,0
昭和,38,震度6強,0
昭和,38,震度7,0
昭和,38,震度不明,0
昭和,39,震度1,7
昭和,39,震度2,6
昭和,39,震度3,0
昭和,39,震度4,0
昭和,39,震度5弱,0
昭和,39,震度5強,0
昭和,39,震度6弱,0
昭和,39,震度6強,0
昭和,39,震度7,0
