https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#month,https://schema.org/url
H22,9,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhou-h22_d/fil/h2209.pdf
H22,10,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhou-h22_d/fil/h2210.pdf
H22,11,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhou-h22_d/fil/h2210.pdf
H22,12,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhou-h22_d/fil/h2212.pdf
H22,1,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhou-h22_d/fil/h2301.pdf
H22,2,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhou-h22_d/fil/2302.pdf
H22,3,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhou-h22_d/fil/2303.pdf
H23,4,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop23_d/fil/2304.pdf
H23,5,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop23_d/fil/2305.pdf
H23,6,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop23_d/fil/2306.pdf
H23,7,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop23_d/fil/2307.pdf
H23,8,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop23_d/fil/2308.pdf
H23,9,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop23_d/fil/2309.pdf
H23,10,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop23_d/fil/2310.pdf
H23,11,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop23_d/fil/2311.pdf
H23,12,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop23_d/fil/2312.pdf
H23,1,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop23_d/fil/2401.pdf
H23,2,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop23_d/fil/2403.pdf
H23,3,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop23_d/fil/2403.pdf
H24,4,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop24_d/fil/2404.pdf
H24,5,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop24_d/fil/2405.pdf
H24,6,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop24_d/fil/2406.pdf
H24,7,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop24_d/fil/2407.pdf
H24,8,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop24_d/fil/2408.pdf
H24,9,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop24_d/fil/2409.pdf
H24,10,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop24_d/fil/2410.pdf
H24,11,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop24_d/fil/2411.pdf
H24,12,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop24_d/fil/2412.pdf
H24,1,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop24_d/fil/2501.pdf
H24,2,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop24_d/fil/2502.pdf
H24,3,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop24_d/fil/2503.pdf
H25,4,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop26_d/fil/H260315.pdf
H25,5,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop25_d/fil/25-5.pdf
H25,6,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop25_d/fil/25-6.pdf
H25,7,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop25_d/fil/25-6.pdf
H25,8,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop25_d/fil/25-6.pdf
H25,9,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop25_d/fil/25-9.pdf
H25,10,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop25_d/fil/25-10.pdf
H25,11,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop25_d/fil/25-11.pdf
H25,12,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop25_d/fil/25-12.pdf
H25,1,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop25_d/fil/26-1.pdf
H25,2,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop25_d/fil/26-2.pdf
H25,3,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop25_d/fil/26-3.pdf
H26,4,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop26_d/fil/H260415.pdf
H26,5,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop26_d/fil/H260515.pdf
H26,6,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop26_d/fil/H260615.pdf
H26,7,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop26_d/fil/H260725.pdf
H26,8,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop26_d/fil/H260805.pdf
H26,9,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop26_d/fil/H260915.pdf
H26,10,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop26_d/fil/H261015.pdf
H26,11,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop26_d/fil/H261115.pdf
H26,12,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop26_d/fil/H261215.pdf
H26,1,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop26_d/fil/H260115.pdf
H26,2,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop26_d/fil/H260215.pdf
H26,3,http://www.city.echizen.lg.jp/office/echizen/kouhou/kouhoutop26_d/fil/H260315.pdf
H27,4,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop27_d/fil/H270405.pdf
H27,5,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop27_d/fil/H270515.pdf
H27,6,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop27_d/fil/H270615.pdf
H27,7,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop27_d/fil/H270715.pdf
H27,8,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop27_d/fil/H270805.pdf
H27,9,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop27_d/fil/H270915.pdf
H27,10,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop27_d/fil/H271015.pdf
H27,11,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop27_d/fil/H271113.pdf
H27,12,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop27_d/fil/H271215.pdf
H27,1,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop27_d/fil/H280114.pdf
H27,2,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop27_d/fil/H280215.pdf
H27,3,http://www.city.echizen.lg.jp/office/010/010/kouhou/kouhoutop27_d/fil/H280315.pdf
H28,4,http://www.city.echizen.lg.jp/office/010/010/kouhoutop28_d/fil/0415.pdf
H28,5,http://www.city.echizen.lg.jp/office/010/010/kouhoutop28_d/fil/0515.pdf
H28,6,http://www.city.echizen.lg.jp/office/010/010/kouhoutop28_d/fil/0615.pdf
H28,7,http://www.city.echizen.lg.jp/office/010/010/kouhoutop28_d/fil/0715.pdf
H28,8,http://www.city.echizen.lg.jp/office/010/010/kouhoutop28_d/fil/0815.pdf
H28,9,http://www.city.echizen.lg.jp/office/010/010/kouhoutop28_d/fil/0915.pdf
H28,10,http://www.city.echizen.lg.jp/office/010/010/kouhoutop28_d/fil/1015.pdf
H28,11,http://www.city.echizen.lg.jp/office/010/010/kouhoutop28_d/fil/1115.pdf
