https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#value_Thousand
平成25年度,地方譲与金,309756
平成25年度,利子割交付金,27265
平成25年度,配当割交付金,44513
平成25年度,株式等譲渡所得割交付金,70146
平成25年度,ゴルフ場利用税交付金,12098
平成25年度,地方消費税交付金,848011
平成25年度,自動車取得税交付金,93003
平成25年度,地方特例交付金,34823
平成25年度,地方交付税,5753913
平成25年度,交通安全対策特別交付金,11271
平成25年度,分担金及び負担金,576232
平成25年度,使用料及び手数料,409589
平成25年度,国庫支出金,4515308
平成25年度,県支出金,2283109
平成25年度,財産収入,85844
平成25年度,寄付金,21091
平成25年度,繰入金,472451
平成25年度,繰越金,1173634
平成25年度,諸収入,1045026
平成25年度,市債,4824400
平成26年度,歳入計,34447505
平成26年度,市税,12774620
平成26年度,地方譲与金,297670
平成26年度,利子割交付金,26036
平成26年度,配当割交付金,86356
平成26年度,株式等譲渡所得割交付金,49834
平成26年度,ゴルフ場利用税交付金,12710
平成26年度,地方消費税交付金,1024980
平成26年度,自動車取得税交付金,40927
平成26年度,地方特例交付金,33331
平成26年度,地方交付税,6174021
平成26年度,交通安全対策特別交付金,9829
平成26年度,分担金及び負担金,581688
平成26年度,使用料及び手数料,404427
平成26年度,国庫支出金,4160447
平成26年度,県支出金,2194547
平成26年度,財産収入,294642
平成26年度,寄付金,17483
平成26年度,繰入金,447359
平成26年度,繰越金,1064887
平成26年度,諸収入,25222
平成26年度,市債,3963900
平成27年度,歳入計,39588315
平成27年度,市税,13463431
平成27年度,地方譲与金,310941
平成27年度,利子割交付金,22834
平成27年度,配当割交付金,71536
平成27年度,株式等譲渡所得割交付金,62700
平成27年度,ゴルフ場利用税交付金,11625
平成27年度,地方消費税交付金,1708772
平成27年度,自動車取得税交付金,67033
平成27年度,地方特例交付金,33265
平成27年度,地方交付税,6247339
平成27年度,交通安全対策特別交付金,10405
平成27年度,分担金及び負担金,359707
平成27年度,使用料及び手数料,519315
平成27年度,国庫支出金,4332871
平成27年度,県支出金,2831728
平成27年度,財産収入,143942
平成27年度,寄付金,47481
平成27年度,繰入金,2510654
平成27年度,繰越金,1266075
平成27年度,諸収入,901761
平成27年度,市債,4664900
平成28年度,歳入計,37464167
平成28年度,市税,13021901
平成28年度,地方譲与金,308574
平成28年度,利子割交付金,14308
平成28年度,配当割交付金,40541
平成28年度,株式等譲渡所得割交付金,24374
平成28年度,ゴルフ場利用税交付金,12290
平成28年度,地方消費税交付金,1519298
平成28年度,自動車取得税交付金,69553
平成28年度,地方特例交付金,34746
平成28年度,地方交付税,5337743
平成28年度,交通安全対策特別交付金,9933
平成28年度,分担金及び負担金,259746
平成28年度,使用料及び手数料,526723
平成28年度,国庫支出金,4567404
平成28年度,県支出金,2794381
平成28年度,財産収入,172895
平成28年度,寄付金,64050
平成28年度,繰入金,2422070
平成28年度,繰越金,1396877
平成28年度,諸収入,925060
平成28年度,市債,3941700
平成29年度,歳入計,39255082
平成29年度,市税,12627383
平成29年度,地方譲与金,308053
平成29年度,利子割交付金,26614
平成29年度,配当割交付金,54136
平成29年度,株式等譲渡所得割交付金,56568
平成29年度,ゴルフ場利用税交付金,12864
平成29年度,地方消費税交付金,1481275
平成29年度,自動車取得税交付金,87115
平成29年度,地方特例交付金,38227
平成29年度,地方交付税,5684401
平成29年度,交通安全対策特別交付金,8719
平成29年度,分担金及び負担金,258836
平成29年度,使用料及び手数料,521979
平成29年度,国庫支出金,5213530
平成29年度,県支出金,2662264
平成29年度,財産収入,301849
平成29年度,寄付金,117452
平成29年度,繰入金,2316215
平成29年度,繰越金,1505705
平成29年度,諸収入,609397
平成29年度,市債,5362500
