https://schema.org/name,https://schema.org/abstract,https://schema.org/address,https://schema.org/telephone,https://schema.org/url,https://schema.org/email,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://schema.org/Map,https://schema.org/color,https://schema.org/category,https://schema.org/description
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目3内容,9/30～10/2
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目４,【Bルート】JR武生駅行　運行時間
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目4内容,始発　9：45　終発　17：15　所要時間　10分
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目５,【Cルート】JR武生駅行　運行日
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目5内容,10/5・6
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目６,【Cルート】JR武生駅行　運行時間
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目6内容,始発　8：45　終発　17：15　所要時間　10分
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目７,【Dルート】福井村田P行　運行日
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目7内容,9/30　10/6.7.8
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目８,【Dルート】福井村田P行　運行時間
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目8内容,始発　8：55　終発　18：25　所要時間　10分
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目９,【Eルート】アシックス行　運行日
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目9内容,10/1.2.3.5.6.8
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目１０,【Eルート】アシックス行　運行時間
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目10内容,始発　8：55　終発　17：55　所要時間　10分
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目11,【Fルート】アシックス行　運行日
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目11内容,9/30　10/7
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目12,【Fルート】アシックス行　運行時間
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目12内容,始発　8：55　終発　17：55　所要時間　10分
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目13,【Hルート】信越化学P行　運行日
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目13内容,9/30　10/6.7.8
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目14,【Hルート】信越化学P行　運行時間
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目14内容,始発　8：50　終発　17：50　所要時間　15分
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目15,【障スポ】JR武生駅行　運行日
武生中央公園（シャトルバス）,,,,https://happy.e-fas.net/#/,,35.900197,136.156755,国体マップ,青,項目15内容,上午/下午 00時00分00秒
