#property,pt行,pt音,pt可燃ごみ,ptプラ容器,pt不燃ごみ,ptかん、びん、ペット、有害、スプレーかん,pt備考
Teraji-chō,tuv,t,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Tennō-chō,tuv,t,Ter/Sex,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Quinta-feira,
Tokuma-chō,tuv,t,Seg/Qui,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quarta-feira,
Totani-chō,tuv,t,Ter/Sex,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Todoroi-chō,tuv,t,Ter/Sex,Qua,2ª e 4ª Quinta-feira,1ª e 3ª Quinta-feira,
Tono-chō,tuv,t,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Tobe-chō,tuv,t,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Ton'yamachi-chō,tuv,t,Ter/Sex,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Nakai-chō,mno,n,Seg/Qui,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Terça-feira,
Nakain-chō,mno,n,Ter/Sex,Qua,2ª e 4ª Quinta-feira,1ª e 3ª Quinta-feira,
Nakashinjō-chō,mno,n,Ter/Sex,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Nakatsuhara-chō,mno,n,Ter/Sex,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Sexta-feira,
Nakatsuyama-chō,mno,n,Ter/Sex,Qua,2ª e 4ª Terça-feira,1ª e 3ª Terça-feira,
Nakano-chō,mno,n,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Nakahirabuki-chō,mno,n,Seg/Qui,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Sexta-feira,
Nakayama,mno,n,Ter/Sex,Qua,2ª e 4ª Terça-feira,1ª e 3ª Terça-feira,
Nakayama-chō,mno,n,Ter/Sex,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Sexta-feira,
Nagao-chō,mno,n,Ter/Sex,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Nagatani-chō,mno,n,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Nagatoro-chō,mno,n,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quarta-feira,
Namigaki-chō,mno,n,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Nawate-chō,mno,n,Ter/Sex,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Sexta-feira,
Nikaidō-chō,mno,n,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Nishio-chō,mno,n,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Segunda-feira,
Nishikashio-chō,mno,n,Seg/Qui,Qua,2ª e 4ª Sexta-feira,1ª e 3ª Sexta-feira,
Nishiki-chō,mno,n,Seg/Qui,Ter,2ª e 4ª Terça-feira,2ª e 4ª Terça-feira,
Nishikōchi-chō,mno,n,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Nishishōzaka-chō,mno,n,Ter/Sex,Qua,2ª e 4ª Terça-feira,1ª e 3ª Terça-feira,
Nishitani-chō,mno,n,Ter/Sex,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Nyūnogō-chō,mno,n,Seg/Qui,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Quinta-feira,
Nooka-chō,mno,n,Ter/Sex,Qua,2ª e 4ª Terça-feira,1ª e 3ª Terça-feira,
Nogami-chō,mno,n,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Sexta-feira,
Hagiwara-chō,ghi,h,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Haguri-chō,ghi,h,Seg/Qui,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Quarta-feira,
Hata-chō,ghi,h,Ter/Sex,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Hachikoku-chō,ghi,h,Ter/Sex,Qua,2ª e 4ª Quinta-feira,1ª e 3ª Quinta-feira,
Hachiman 1 chōme,ghi,h,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quarta-feira,
Hachiman 2 chōme,ghi,h,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quarta-feira,
Haruyama-chō,ghi,h,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Bajōme-chō,abc,b,Ter/Sex,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Quarta-feira,
Bandai-chō,abc,b,Seg/Qui,Ter,2ª e 4ª Terça-feira,2ª e 4ª Terça-feira,
Hiodani-chō,ghi,h,Seg/Qui,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Terça-feira,
Higashikashio-chō,ghi,h,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Higashishōzakai-chō,ghi,h,Ter/Sex,Qua,2ª e 4ª Terça-feira,1ª e 3ª Terça-feira,
Higashisenpuku-chō,ghi,h,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Terça-feira,
Hisaka-chō,ghi,h,Seg/Qui,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Quarta-feira,
Hinomi 1 chōme,ghi,h,Ter/Sex,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Quinta-feira,
Hinomi 2 chōme,ghi,h,Ter/Sex,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Quinta-feira,
Himekawa 1  chōme,ghi,h,Ter/Sex,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Sexta-feira,
Himekawa 2  chōme,ghi,h,Ter/Sex,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Sexta-feira,
Hiraide 1 chōme,ghi,h,Seg/Qui,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Hiraide 2 chōme,ghi,h,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Hiraide 3 chōme,ghi,h,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Hirabayashi-chō,ghi,h,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Segunda-feira,
Hirose-chō,ghi,h,Seg/Qui,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Quinta-feira,
Hirosehibarigaoka,ghi,h,Seg/Qui,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Quinta-feira,
Fukakusa 1 chōme,def,f,Seg/Qui,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Fukakusa 2 chōme,def,f,Seg/Qui,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Fujinoki-chō,def,f,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Fujimigaoka 1 chōme,def,f,Seg/Qui,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Terça-feira,
Fujimigaoka  2 chōme,def,f,Seg/Qui,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Terça-feira,
Fujimidai,def,f,Ter/Sex,Qua,2ª e 4ª Terça-feira,1ª e 3ª Terça-feira,
Fuchū 1 chōme,def,f,Seg/Qui,Ter,2ª e 4ª Terça-feira,2ª e 4ª Terça-feira,
Fuchū 1 chōme (Estrada Provincial Takefu-Ono),def,f,Ter/Sex,Ter,2ª e 4ª Terça-feira,2ª e 4ª Terça-feira,
Fuchū 2 chōme,def,f,Seg/Qui,Ter,2ª e 4ª Terça-feira,2ª e 4ª Terça-feira,
Fuchū 3 chōme,def,f,Seg/Qui,Ter,2ª e 4ª Terça-feira,2ª e 4ª Quarta-feira,
Fumuro-chō,def,f,Seg/Qui,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Terça-feira,
Bunkyō 1 chōme,abc,b,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Terça-feira,
Bunkyō 2 chōme,abc,b,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Terça-feira,
Heiwa-chō,ghi,h,Ter/Sex,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Quinta-feira,
Betsuin-chō,abc,b,Ter/Sex,Qua,2ª e 4ª Quinta-feira,1ª e 3ª Quinta-feira,
Hourai-chō,ghi,h,Seg/Qui,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Terça-feira,
Hoyama-chō,ghi,h,Ter/Sex,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Hori-chō,ghi,h,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Horikawa-chō,ghi,h,Ter/Sex,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Terça-feira,
Honda 1 chōme,ghi,h,Seg/Qui,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Quarta-feira,
Honda 2 chōme,ghi,h,Seg/Qui,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Quarta-feira,
Honda 3 chōme,ghi,h,Seg/Qui,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Quarta-feira,
Honbo-chō,ghi,h,Seg/Qui,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Quarta-feira,
Honmachi-chō,ghi,h,Ter/Sex,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Quinta-feira,
Maindotaun,mno,m,Ter/Sex,Qua,2ª e 4ª Terça-feira,1ª e 3ª Terça-feira,
Makara-chō,mno,m,Ter/Sex,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Maki-chō,mno,m,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Matsumori-chō(Leste da estação da JR),mno,m,Seg/Qui,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Terça-feira,
Matsumori-chō(Oeste da Estação da JR),mno,m,Ter/Sex,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Terça-feira,
Maruka-chō,mno,m,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Sexta-feira,
Mizuma-chō,mno,m,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Mitsukuchi-chō,mno,m,Ter/Sex,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Terça-feira,
Mitsumata-chō,mno,m,Seg/Qui,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Quinta-feira,
Mitsuya-chō,mno,m,Ter/Sex,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Midorinomura,mno,m,Seg/Qui,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Terça-feira,
Minami 1 chōme,mno,m,Ter/Sex,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Sexta-feira,
Minami 2 chōme,mno,m,Ter/Sex,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Sexta-feira,
Minami 3 chōme,mno,m,Ter/Sex,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Sexta-feira,
Minamioyama-chō,mno,m,Seg/Qui,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Terça-feira,
Minamisakashita-chō,mno,m,Ter/Sex,Qua,2ª e 4ª Quinta-feira,1ª e 3ª Quinta-feira,
Minaminaka-chō,mno,m,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Minowaki-chō,mno,m,Seg/Qui,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Terça-feira,
Miyadani-chō,mno,m,Seg/Qui,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quarta-feira,*Não há coleta de latas e garrafas pets
Miyuki-chō,mno,m,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Terça-feira,
Myōhōji-chō,mno,m,Ter/Sex,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Quinta-feira,
Mukaishinbo-chō,mno,m,Ter/Sex,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Mukōgaoka-chō,mno,m,Seg/Qui,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quinta-feira,
Murakuni 1 chōme,mno,m,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quinta-feira,
Murakuni 2 chōme,mno,m,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quinta-feira,
Murakuni 3 chōme,mno,m,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quarta-feira,
Murakuni 4 chōme,mno,m,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quarta-feira,
Murotani-chō,mno,m,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Moto-machi,mno,m,Ter/Sex,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Quinta-feira,
Morihisa-chō,mno,m,Seg/Qui,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Sexta-feira,
Yasudo-chō,wxyz,y,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Yanagimoto-machi,wxyz,y,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Yahanashi-chō,wxyz,y,Ter/Sex,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Yafune-chō,wxyz,y,Ter/Sex,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Yamamuro-chō,wxyz,y,Ter/Sex,Qua,2ª e 4ª Terça-feira,1ª e 3ª Terça-feira,
Yukimatsu-chō(Ao Leste da JR),wxyz,y,Seg/Qui,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Terça-feira,
Yukimatsu-chō(A Oeste da JR),wxyz,y,Ter/Sex,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Terça-feira,
Yutaka-chō,wxyz,y,Ter/Sex,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Sexta-feira,
Yuya-chō,wxyz,y,Ter/Sex,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Sexta-feira,
Yokawa-chō,wxyz,y,Seg/Qui,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Terça-feira,
Yokoichi-chō,wxyz,y,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quinta-feira,
Yokozumi-chō,wxyz,y,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Yokone-chō,wxyz,y,Seg/Qui,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Quinta-feira,
Yoshimura-chō,wxyz,y,Seg/Qui,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quarta-feira,
Ryōke-chō,pqrs,r,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Wakatake-chō,wxyz,w,Ter/Sex,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Sexta-feira,
Wakamatsu-chō,wxyz,w,Ter/Sex,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Quinta-feira,
Wakamiya-chō,wxyz,w,Seg/Qui,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quarta-feira,
Wagasu-chō,wxyz,w,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
