#property,pt行,pt音,pt可燃ごみ,ptプラ容器,pt不燃ごみ,ptかん、びん、ペット、有害、スプレーかん,pt備考
Katsura-chō,jkl,k,Seg/Qui,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Quarta-feira,
Kamiōda-chō  (Na estrada das plantações ),jkl,k,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Sexta-feira,
Kamiōda-chō,jkl,k,Seg/Qui,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Sexta-feira,
Kamiōtsubo-chō,jkl,k,Seg/Qui,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Terça-feira,*Não há coleta de latas e garrafas pets
Kamikurokawa-chō,jkl,k,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Kamikomatsu-chō,jkl,k,Seg/Qui,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Sexta-feira,
Kamishime-chō,jkl,k,Seg/Qui,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Quinta-feira,
Kamimakara-chō,jkl,k,Seg/Qui,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quarta-feira,
Kayadani-chō,jkl,k,Seg/Qui,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Terça-feira,
Karasugadaira-chō,jkl,k,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Gakuen Danchi,ghi,g,Ter/Sex,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Terça-feira,
Kita-chō,jkl,k,Ter/Sex,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Kitaoyama-chō,jkl,k,Seg/Qui,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Terça-feira,
Kitago 1 chōme,jkl,k,Seg/Qui,Ter,2ª e 4ª Terça-feira,2ª e 4ª Quarta-feira,
Kitago 2 chōme,jkl,k,Seg/Qui,Ter,2ª e 4ª Terça-feira,2ª e 4ª Quarta-feira,
Kitago 3 chōme,jkl,k,Seg/Qui,Ter,2ª e 4ª Terça-feira,2ª e 4ª Quarta-feira,
Kitago 4 chōme,jkl,k,Seg/Qui,Ter,2ª e 4ª Terça-feira,2ª e 4ª Quarta-feira,
Kitasakashita-chō,jkl,k,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Kitasenpuku-chō,jkl,k,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Sexta-feira,
Kitahino Danchi,jkl,k,Ter/Sex,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Kitayama-chō,jkl,k,Seg/Qui,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Quinta-feira,
Kyōmachi 1 chōme,jkl,k,Seg/Qui,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Quarta-feira,
Kyōmachi 2 chōme,jkl,k,Seg/Qui,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Quarta-feira,
Kyōmachi 3 chōme,jkl,k,Seg/Qui,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Quarta-feira,
Kiyone-chō,jkl,k,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Kuzuoka-chō,jkl,k,Ter/Sex,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Quinta-feira,
Kudashi-chō,jkl,k,Seg/Qui,Qua,2ª e 4ª Segunda-feira,1ª e 3ª Segunda-feira,
Kutsukake-chō,jkl,k,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Sexta-feira,
Kunikane-chō,jkl,k,Seg/Qui,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Sexta-feira,
Kunitaka 1 chōme,jkl,k,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quarta-feira,
Kunitaka 2 chōme,jkl,k,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quarta-feira,
Kunitaka 3 chōme,jkl,k,Ter/Sex,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quarta-feira,
Kuninaka-chō,jkl,k,Ter/Sex,Qua,2ª e 4ª Terça-feira,1ª e 3ª Terça-feira,
Kōtōgahara-chō,jkl,k,Ter/Sex,Qui,2ª e 4ª Quinta-feira,2ª e 4ª Sexta-feira,
Kōyō-chō,jkl,k,Seg/Qui,Qui,2ª e 4ª Quinta-feira,1ª e 3ª Quinta-feira,
Kokufu 1 chōme,jkl,k,Seg/Qui,Ter,2ª e 4ª Terça-feira,2ª e 4ª Terça-feira,
Kokufu 2 chōme,jkl,k,Seg/Qui,Ter,2ª e 4ª Terça-feira,2ª e 4ª Terça-feira,
Kosugi-chō,jkl,k,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Kono-chō,jkl,k,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Sexta-feira,
Komatsu 1 chōme,jkl,k,Seg/Qui,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Komatsu 2 chōme,jkl,k,Seg/Qui,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Segunda-feira,
Komeguchihotokedani-chō,jkl,k,Ter/Sex,Seg,2ª e 4ª Segunda-feira,2ª e 4ª Sexta-feira,
Gobuichi-chō,ghi,g,Seg/Qui,Qua,2ª e 4ª Quarta-feira,1ª e 3ª Quarta-feira,
Saiwai-chō,pqrs,s,Seg/Qui,Ter,2ª e 4ª Terça-feira,2ª e 4ª Terça-feira,
Sadatomo-chō,pqrs,s,Ter/Sex,Qua,2ª e 4ª Quinta-feira,1ª e 3ª Quinta-feira,
Sawa-chō,pqrs,s,Seg/Qui,Seg,2ª e 4ª Segunda-feira,1ª e 3ª Sexta-feira,
Shibahara 1 chōme,pqrs,s,Ter/Sex,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Quarta-feira,
Shibahara 2 chōme,pqrs,s,Ter/Sex,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Quarta-feira,
Shibahara 3 chōme,pqrs,s,Ter/Sex,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Quarta-feira,
Shibahara 4 chōme,pqrs,s,Ter/Sex,Qua,2ª e 4ª Quarta-feira,2ª e 4ª Quarta-feira,
