https://schema.org/Place,https://code4fukui.github.io/rdf/#number_of_households,https://schema.org/gender,https://code4fukui.github.io/rdf/#population
塚原町,138,女,171
白崎町,218,男,209
白崎町,218,女,262
春日野町,49,男,70
春日野町,49,女,73
今宿町,147,男,185
今宿町,147,女,182
国兼町,79,男,132
国兼町,79,女,136
大塩町,125,男,182
大塩町,125,女,159
上小松町,14,男,14
上小松町,14,女,22
森久町,16,男,27
森久町,16,女,26
瓜生野町,4,男,2
瓜生野町,4,女,3
中平吹町,172,男,251
中平吹町,172,女,261
下平吹町,84,男,116
下平吹町,84,女,113
富士見が丘一,146,男,177
富士見が丘一,146,女,190
富士見が丘二,84,男,114
富士見が丘二,84,女,119
向陽町,141,男,197
向陽町,141,女,179
北町,367,男,600
北町,367,女,563
杉崎町,50,男,83
杉崎町,50,女,95
真柄町,50,男,87
真柄町,50,女,84
戸谷町,116,男,180
戸谷町,116,女,191
長尾町,57,男,78
長尾町,57,女,88
中新庄町,126,男,211
中新庄町,126,女,232
三ツ屋町,79,男,136
三ツ屋町,79,女,133
矢放町,219,男,289
矢放町,219,女,303
帆山町,210,男,281
帆山町,210,女,323
矢船町,170,男,189
矢船町,170,女,206
向新保町,75,男,126
向新保町,75,女,129
畑町,21,男,41
畑町,21,女,46
小野谷町,113,男,156
小野谷町,113,女,182
西谷町,67,男,51
西谷町,67,女,73
荒谷町,12,男,17
荒谷町,12,女,21
平林町,65,男,110
平林町,65,女,121
庄田町,107,男,149
庄田町,107,女,148
大手町,24,男,38
大手町,24,女,37
西尾町,175,男,280
西尾町,175,女,260
岩内町,54,男,88
岩内町,54,女,89
大屋町,71,男,99
大屋町,71,女,116
葛岡町,47,男,57
葛岡町,47,女,55
問屋町,0,男,0
問屋町,0,女,0
北日野団地,124,男,132
北日野団地,124,女,183
入谷町,32,男,43
入谷町,32,女,49
中居町,47,男,61
中居町,47,女,75
蓑脇町,44,男,52
蓑脇町,44,女,64
桧尾谷町,24,男,43
桧尾谷町,24,女,52
余川町,99,男,142
余川町,99,女,165
池泉町,188,男,300
池泉町,188,女,300
文室町,79,男,110
文室町,79,女,119
萱谷町,113,男,96
萱谷町,113,女,100
上大坪町,132,男,205
上大坪町,132,女,203
味真野町,121,男,174
味真野町,121,女,178
